0	1	5
0	4	1
1	2	1
1	6	1
2	3	3
4	5	1
7	8	5
7	9	4
7	10	5
7	17	1
7	22	1
8	9	4
8	10	5
9	10	2
11	12	2
11	13	2
11	14	3
11	15	2
11	16	1
11	17	3
11	18	1
11	19	1
11	20	3
11	21	2
12	13	1
12	14	2
12	15	1
12	16	1
12	17	2
12	18	1
12	19	1
12	20	1
12	21	2
13	14	4
13	15	2
13	16	2
13	17	3
13	18	1
13	19	1
13	20	1
13	21	2
14	15	3
14	16	2
14	17	5
14	18	2
14	19	2
14	20	2
14	21	4
15	16	2
15	17	2
15	18	1
15	19	2
15	20	1
15	21	3
16	17	1
16	18	1
16	19	1
16	20	2
16	21	1
17	18	3
17	20	1
17	21	2
18	20	2
18	21	2
19	20	1
19	21	1
20	21	2
23	24	3
23	25	1
25	29	1
25	30	1
26	27	5
26	28	5
26	29	1
26	30	1
27	28	3
29	30	4
29	32	1
31	32	5
33	34	2
35	36	4
36	37	1
36	38	1
39	40	2
39	41	1
39	43	1
39	48	2
40	48	1
41	42	5
41	47	1
42	44	1
42	47	1
44	45	2
44	46	2
44	47	4
44	49	1
44	52	1
45	46	2
45	47	4
45	52	1
46	47	2
46	49	1
46	52	1
47	52	1
50	51	5
51	52	1
53	54	1
53	60	1
53	61	1
53	62	1
53	65	1
55	56	5
55	57	1
55	58	2
56	57	1
56	58	1
57	58	4
59	60	5
61	62	5
61	64	2
61	66	1
62	64	1
62	66	2
63	64	1
67	68	5
67	72	1
67	73	1
68	72	1
68	73	1
69	70	4
69	71	4
69	72	1
70	71	3
70	72	1
71	72	1
73	74	1
73	75	1
74	75	4
76	77	1
76	78	1
76	79	1
77	78	1
77	79	1
78	79	2
